"Timestamp","You are currently a","How many credits are you taking this semester","What is your GPA range?","Do you know where woodruff library is?","How many days on average do you go to woodruff library in a week during normal periods?","How many days on average do you go to woodruff library in a week during exam periods?","What is your major?","Do you prefer quiet floors or non-quiet floors?","Which part of library do you go to most often?","What do you often do in woodruff library?"
"2018/11/09 2:23:16 PM EST","Senior","20-22 (I am overload)",">3.8","Yes","5 or more","5 or more","Math/CS","I don't care","1;2;3;Stacks (4/5/6/7)","Homework;Prepare For Exams"
"2018/11/09 2:26:56 PM EST","Sophomore","20-22 (I am overload)",">3.8","Yes","0","1","Math/CS","Quiet","Reading Room (Candler Library)","Homework;Prepare For Exams;Watch Episodes/Talkshow/Youtube etc."
"2018/11/09 2:27:28 PM EST","Junior","16-19 (Hang in there)",">3.8","Yes","1","3","Math/CS","Non-quiet","1;2","Homework;Group Work/Presentation/Project Discussion;Prepare For Exams"
"2018/11/09 2:27:44 PM EST","Sophomore","16-19 (Hang in there)","3.5-3.8","Yes","4","5 or more","Arts/History/English/Philosophy","I don't care","1","Prepare For Exams"
"2018/11/09 2:27:53 PM EST","freshman","12-15 (I am all good)","3.0-3.5","Yes","3","3","Arts/History/English/Philosophy","Non-quiet","1;2","Homework"
"2018/11/09 2:28:06 PM EST","Junior","16-19 (Hang in there)","3.5-3.8","Yes","3","3","media studies","I don't care","3","Homework"
"2018/11/09 2:28:10 PM EST","Junior","16-19 (Hang in there)",">3.8","Yes","2","2","Math/CS","Quiet","Reading Room (Candler Library)","Homework"
"2018/11/09 2:28:13 PM EST","freshman","16-19 (Hang in there)","3.5-3.8","Yes","2","5 or more","Math/CS;Econ","Non-quiet","2","Homework;Group Work/Presentation/Project Discussion;Prepare For Exams"
"2018/11/09 2:28:22 PM EST","Sophomore","20-22 (I am overload)",">3.8","Yes","0","1","B-school","Quiet","Stacks (4/5/6/7)","Group Work/Presentation/Project Discussion;Prepare For Exams;Search For Materials/Publications/Books/Papers"
"2018/11/09 2:28:26 PM EST","freshman","16-19 (Hang in there)",">3.8","Yes","5 or more","5 or more","B-school","Quiet","3;Stacks (4/5/6/7)","Homework;Prepare For Exams"
